City,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada2,568,575,579,589,593,597,616,628,648,672,694,704,720,732,755,772,804,812,835,856,875,894,915,939,962
Newfoundland and Labrador,517,512,517,525,526,524,490,489,510,530,538,563,571,578,585,575,596,634,668,701,725,784,812,834,865
Prince Edward Island,503,511,517,523,522,527,529,531,538,561,566,585,603,612,631,648,660,688,719,745,787,790,819,814,852
Nova Scotia,562,571,579,584,588,589,603,609,621,645,669,684,711,726,760,777,795,838,851,882,909,929,955,992,1008
New Brunswick,461,470,479,484,490,499,503,510,515,530,543,556,576,586,609,619,635,656,668,687,707,715,735,744,763
Quebec,473,471,472,481,479,479,486,491,495,513,531,553,572,591,607,616,628,640,666,684,681,699,711,728,751
Ontario,672,690,700,714,725,726,761,785,829,863,883,886,898,903,919,924,948,955,980,1002,1033,1059,1086,1121,1154
Manitoba,545,550,551,554,559,561,566,574,581,596,612,633,650,669,692,721,748,788,815,850,887,937,983,1012,1033
Saskatchewan,454,458,459,465,477,494,507,522,529,546,554,564,572,577,596,656,762,833,873,914,958,995,1048,1051,1052
Alberta,553,548,541,540,543,565,607,633,651,701,734,745,754,765,866,1008,1074,1042,1034,1042,1083,1157,1238,1251,1193
British Columbia,682,699,716,725,737,739,746,742,753,772,795,806,821,844,885,922,969,1001,1019,1050,1073,1087,1112,1155,1215
St. John’s,566,554,559,565,570,567,513,517,552,575,589,607,618,634,635,614,630,677,725,771,798,864,888,923,958
Halifax,595,604,610,615,617,616,631,637,648,673,704,720,747,762,799,815,833,877,891,925,954,976,1005,1048,1063
Moncton,469,479,495,504,513,523,531,538,560,561,578,588,611,612,636,643,656,675,691,715,731,742,762,760,798
Saint John,429,436,439,437,441,449,452,457,460,483,492,504,520,526,556,570,618,644,645,670,691,691,714,718,720
Saguenay,420,419,416,417,423,425,428,428,438,439,440,457,459,472,485,490,518,518,535,557,549,571,595,598,587
Québec,501,502,501,513,511,513,513,511,518,538,550,567,596,621,637,641,653,676,692,718,741,757,775,788,808
Sherbrooke ,408,418,420,422,426,426,433,434,437,446,456,471,495,505,515,529,543,553,566,577,578,591,604,608,622
Trois-Rivières,395,400,402,406,405,406,411,403,413,419,431,436,457,474,488,487,505,520,533,547,550,555,568,581,587
Montréal ,488,484,484,494,491,491,499,506,509,529,552,575,594,616,636,647,659,669,700,719,711,730,739,760,791
Gatineau,513,519,528,536,537,530,529,534,544,573,599,639,663,660,667,662,677,690,711,731,743,744,750,751,762
Ottawa,700,727,738,738,739,729,754,783,877,914,930,932,940,920,941,961,995,1028,1048,1086,1115,1132,1132,1174,1201
Kingston,592,619,624,631,654,643,653,658,679,709,727,768,785,807,841,856,880,909,935,965,1005,1054,1070,1096,1119
Peterborough,614,635,643,641,648,628,669,680,683,698,718,728,775,797,818,822,850,875,890,899,904,915,952,959,980
Oshawa,651,659,659,689,700,691,726,745,778,799,819,845,852,855,861,877,889,900,903,941,939,985,1010,1035,1109
Toronto,754,773,784,805,819,821,881,916,979,1027,1047,1040,1052,1052,1067,1061,1095,1096,1123,1149,1183,1213,1251,1288,1327
Hamilton,574,599,602,614,625,636,662,698,719,740,765,778,789,791,796,824,836,831,862,884,886,932,959,1034,1037
St. Catharines - Niagara,570,585,597,596,606,613,617,634,653,680,695,704,722,736,752,765,777,804,817,833,862,872,892,909,958
Kitchener-Cambridge-Waterloo,593,597,591,616,623,630,641,660,697,722,750,754,765,811,824,829,845,856,872,889,908,952,975,997,1050
Brantford,541,572,593,606,610,612,617,614,639,653,665,675,684,722,712,749,752,754,778,792,838,835,855,870,908
Guelph,618,626,642,642,658,678,686,702,736,764,801,823,829,830,839,848,869,874,887,903,941,957,988,1027,1078
London,594,615,629,636,640,636,637,639,657,683,705,736,758,775,790,816,834,896,869,881,919,924,943,963,1002
Windsor,620,631,643,667,682,680,680,696,736,738,769,776,776,780,774,773,772,747,752,753,778,788,798,824,852
Barrie,653,670,687,712,713,737,774,788,830,881,877,934,920,909,906,934,954,961,968,1001,1037,1048,1118,1167,1150
Greater Sudbury/Grand Sudbury,594,610,610,621,624,619,623,612,619,620,647,651,655,668,706,749,800,830,840,881,915,914,927,953,990
Thunder Bay,620,632,655,659,672,666,647,647,654,657,657,672,679,689,696,709,719,742,763,772,818,858,888,917,940
Winnipeg,553,557,559,561,567,568,574,582,588,605,622,645,664,683,709,740,769,809,837,875,911,969,1016,1045,1068
Regina,484,487,485,487,494,512,525,547,549,568,581,589,602,607,619,661,756,832,881,932,979,1018,1079,1097,1109
Saskatoon,444,449,452,460,479,500,516,529,541,558,567,576,580,584,608,693,841,905,934,966,1002,1041,1091,1087,1100
Calgary,598,584,585,584,595,635,707,739,740,783,804,804,806,808,960,1089,1148,1099,1069,1084,1150,1224,1322,1332,1258
Edmonton,544,543,524,519,518,525,551,576,601,654,709,722,730,732,808,958,1034,1015,1015,1034,1071,1141,1227,1259,1229
Kelowna,586,623,633,634,644,640,638,642,645,663,680,697,723,755,800,846,967,897,898,922,927,970,980,1002,1066
Abbotsford-Mission,615,635,640,651,645,628,633,630,632,645,650,672,684,704,719,752,765,781,785,800,818,820,835,864,915
Vancouver,771,790,812,826,845,852,870,864,890,919,954,965,984,1004,1045,1084,1124,1169,1195,1237,1261,1281,1311,1368,1450
Victoria,684,703,713,715,717,724,722,728,731,751,771,789,799,837,874,907,965,1001,1024,1045,1059,1068,1095,1128,1188
