"Price Quartiles and Averages for Absorbed Homeowner and Condominium Units by Dwelling Type and Census Subdivision for Centres 50,000+",,,,,,,,,,,,,,
"Quartiles et moyens de prix pour les propriétaires-occupants et des copropriétés écoulées selon la type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus",,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Single - Individuels,,,,Semi-detached - Jumelés,,,,Single and Semi-detached - Individuels et Jumelés,,,
Province,Centre,"Census Subdivision
Subdivision de recensement","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3"
Nfld.Lab./T.-N.-L.,St. John's,Conception Bay South (T),"333,374","280,000","300,000","350,000",--,--,--,--,"333,374","280,000","300,000","350,000"
Nfld.Lab./T.-N.-L.,St. John's,Portugal Cove-St. Philip's (T),"426,556",--,--,--,--,--,--,--,"426,556",--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Pouch Cove (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Flatrock (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Torbay (T),"488,267",--,--,--,--,--,--,--,"488,267",--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Logy Bay-Middle Cove-Outer Cove (T),"1,110,611",--,--,--,--,--,--,--,"1,110,611",--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Bauline (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Paradise (T),"387,281","345,000","360,000","430,000",--,--,--,--,"387,281","345,000","360,000","430,000"
Nfld.Lab./T.-N.-L.,St. John's,St. John's (CY),"431,425","350,000","385,000","460,000",--,--,--,--,"431,425","350,000","385,000","460,000"
Nfld.Lab./T.-N.-L.,St. John's,Mount Pearl (CY),"333,222",--,--,--,--,--,--,--,"333,222",--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Petty Harbour-Maddox Cove (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Bay Bulls (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Witless Bay (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Total,"407,745","325,000","360,000","440,000","274,512",--,--,--,"402,445","325,000","360,000","440,000"
Nfld.Lab./T.-N.-L.,Total,Total,"407,745","325,000","360,000","440,000","274,512",--,--,--,"402,445","325,000","360,000","440,000"
P.E.I./Î.-P.-É.,Charlottetown,Lot 49 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 48 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 31 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 65 (LOT),"356,000",--,--,--,--,--,--,--,"356,000",--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Meadowbank (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Clyde River (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Miltonvale Park (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Brackley (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 33 (LOT),"223,375",--,--,--,--,--,--,--,"223,375",--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Union Road (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 34 (LOT),"382,778",--,--,--,--,--,--,--,"382,778",--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 35 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 36 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 37 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Mount Stewart (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Winsloe South (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Warren Grove (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Charlottetown (CY),"350,402",--,--,--,--,--,--,--,"350,402",--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Stratford (T),"383,031",--,--,--,--,--,--,--,"383,031",--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Cornwall (T),"315,100",--,--,--,--,--,--,--,"315,100",--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Total,"312,182","225,000","310,000","385,000","239,189",--,--,--,"309,223","225,000","310,000","385,000"
P.E.I./Î.-P.-É.,Total,Total,"312,182","225,000","310,000","385,000","239,189",--,--,--,"309,223","225,000","310,000","385,000"
N.S./N.-É.,Halifax,Halifax (RGM),"498,244","375,000","460,000","545,000","281,512","265,000","275,000","285,000","487,867","290,000","432,500","515,000"
N.S./N.-É.,Halifax,Total,"498,244","375,000","460,000","545,000","281,512","265,000","275,000","285,000","487,867","290,000","432,500","515,000"
N.S./N.-É.,Cape Breton,Cape Breton (RGM),"245,598","182,500","230,000","277,500",--,--,--,--,"245,598","182,500","230,000","277,500"
N.S./N.-É.,Cape Breton,Total,"245,598","182,500","230,000","277,500",--,--,--,--,"245,598","182,500","230,000","277,500"
N.S./N.-É.,Total,Total,"461,496","305,000","415,000","500,000","285,354","265,000","270,000","285,000","436,511","285,000","390,000","490,000"
N.B./N.-B.,Moncton,Hopewell (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Elgin (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Hillsborough (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Coverdale (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Riverview (TV),"325,486",--,--,--,"220,721",--,--,--,"261,463",--,--,--
N.B./N.-B.,Moncton,Hillsborough (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Dorchester (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Dorchester (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Memramcook (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Moncton (P),"353,202","275,000","350,000","400,000",--,--,--,--,"353,202","275,000","350,000","400,000"
N.B./N.-B.,Moncton,Moncton (C),"323,956","267,500","292,500","335,000","184,700",--,--,--,"310,202","267,500","292,500","335,000"
N.B./N.-B.,Moncton,Salisbury (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Dieppe (C),"410,550",--,--,--,--,--,--,--,"410,550",--,--,--
N.B./N.-B.,Moncton,Saint-Paul (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Total,"342,729","280,000","325,000","385,000","205,554","180,000","210,000","220,000","332,304","270,000","305,000","375,000"
N.B./N.-B.,Saint John,Saint Martins (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,St. Martins (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Simonds (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Saint John (C),"304,975",--,--,--,--,--,--,--,"304,975",--,--,--
N.B./N.-B.,Saint John,Musquash (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Lepreau (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Petersville (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Upham (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Hampton (TV),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Hampton (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Rothesay (TV),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Westfield (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Kingston (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Grand Bay-Westfield (TV),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Norton (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Greenwich (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Rothesay (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Quispamsis (TV),"333,980",--,--,--,--,--,--,--,"333,980",--,--,--
N.B./N.-B.,Saint John,Total,"370,095","300,000","337,500","425,000",--,--,--,--,"370,095","300,000","337,500","425,000"
N.B./N.-B.,Fredericton,Gladstone (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Tracy (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Lincoln (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Maugerville (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,New Maryland (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,New Maryland (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Manners Sutton (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Harvey (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Hanwell (RCR),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Kingsclear (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Queensbury (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Bright (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Douglas (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Saint Marys (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Fredericton (C),"360,046",--,--,--,--,--,--,--,"360,046",--,--,--
N.B./N.-B.,Fredericton,Total,"303,166","210,000","270,000","340,000",--,--,--,--,"303,166","210,000","270,000","340,000"
N.B./N.-B.,Total,Total,"338,858","260,000","320,000","390,000","198,078","170,000","190,000","220,000","309,781","215,000","285,000","370,000"
Que/Qc,Saguenay,Saguenay (V),--,--,--,--,"213,972",--,--,--,"213,972",--,--,--
Que/Qc,Saguenay,Saint-Félix-d'Otis (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Sainte-Rose-du-Nord (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Saint-Fulgence (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Saint-Honoré (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Saint-David-de-Falardeau (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Bégin (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Saint-Charles-de-Bourget (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Larouche (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Total,--,--,--,--,"216,188","175,000","205,000","220,000","216,188","175,000","205,000","220,000"
Que/Qc,Montréal,Lavaltrie (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Richelieu (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Mathias-sur-Richelieu (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Jean-sur-Richelieu (V),"393,118","310,000","375,000","415,000","277,493",--,--,--,"381,718","310,000","375,000","415,000"
Que/Qc,Montréal,Chambly (V),"424,264","395,000","445,000","475,000","309,392",--,--,--,"383,550","395,000","445,000","475,000"
Que/Qc,Montréal,Carignan (V),"476,045",--,--,--,"329,294","300,000","315,000","350,000","337,926","300,000","315,000","350,000"
Que/Qc,Montréal,Saint-Basile-le-Grand (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,McMasterville (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Otterburn Park (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Mont-Saint-Hilaire (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Beloeil (V),"494,818",--,--,--,--,--,--,--,"494,818",--,--,--
Que/Qc,Montréal,Saint-Mathieu-de-Beloeil (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Brossard (V),"707,537",--,--,--,--,--,--,--,"707,537",--,--,--
Que/Qc,Montréal,Saint-Lambert (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Boucherville (V),"715,141",--,--,--,--,--,--,--,"715,141",--,--,--
Que/Qc,Montréal,Saint-Bruno-de-Montarville (V),--,--,--,--,--,--,--,--,--,--,--,--
