"Price Quartiles and Averages for Unabsorbed Homeowner and Condominium Units by Dwelling Type and Census Subdivision for Centres 50,000+",,,,,,,,,,,,,,
"Quartiles et moyens de prix pour les propriétaires-occupants et des copropriétés non-écoulées selon la type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus",,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Single - Individuels,,,,Semi-detached - Jumelés,,,,Single and Semi-detached - Individuels et Jumelés,,,
Province,Centre,"Census Subdivision
Subdivision de recensement","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3"
Nfld.Lab./T.-N.-L.,St. John's,Conception Bay South (T),"327,553","295,000","330,000","365,000","237,129",--,--,--,"301,179","295,000","330,000","365,000"
Nfld.Lab./T.-N.-L.,St. John's,Portugal Cove-St. Philip's (T),"581,533",--,--,--,--,--,--,--,"581,533",--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Pouch Cove (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Flatrock (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Torbay (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Logy Bay-Middle Cove-Outer Cove (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Bauline (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Paradise (T),"343,456","310,000","350,000","370,000",--,--,--,--,"343,456","310,000","350,000","370,000"
Nfld.Lab./T.-N.-L.,St. John's,St. John's (CY),"432,211","355,000","395,000","470,000","272,918",--,--,--,"383,538","355,000","395,000","470,000"
Nfld.Lab./T.-N.-L.,St. John's,Mount Pearl (CY),"313,750",--,--,--,--,--,--,--,"313,750",--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Petty Harbour-Maddox Cove (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Bay Bulls (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Witless Bay (T),--,--,--,--,--,--,--,--,--,--,--,--
Nfld.Lab./T.-N.-L.,St. John's,Total,"389,951","330,000","360,000","400,000","264,935","220,000","275,000","295,000","361,197","290,000","345,000","382,500"
Nfld.Lab./T.-N.-L.,Total,Total,"389,951","330,000","360,000","400,000","264,935","220,000","275,000","295,000","361,197","290,000","345,000","382,500"
P.E.I./Î.-P.-É.,Charlottetown,Lot 49 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 48 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 31 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 65 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Meadowbank (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Clyde River (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Miltonvale Park (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Brackley (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 33 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Union Road (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 34 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 35 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 36 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Lot 37 (LOT),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Mount Stewart (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Winsloe South (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Warren Grove (COM),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Charlottetown (CY),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Stratford (T),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Cornwall (T),--,--,--,--,--,--,--,--,--,--,--,--
P.E.I./Î.-P.-É.,Charlottetown,Total,"464,000",--,--,--,"233,400",--,--,--,"310,267",--,--,--
P.E.I./Î.-P.-É.,Total,Total,"464,000",--,--,--,"233,400",--,--,--,"310,267",--,--,--
N.S./N.-É.,Halifax,Halifax (RGM),--,--,--,--,"283,738","265,000","265,000","270,000","283,738","265,000","265,000","270,000"
N.S./N.-É.,Halifax,Total,--,--,--,--,"283,738","265,000","265,000","270,000","283,738","265,000","265,000","270,000"
N.S./N.-É.,Cape Breton,Cape Breton (RGM),--,--,--,--,--,--,--,--,--,--,--,--
N.S./N.-É.,Cape Breton,Total,--,--,--,--,--,--,--,--,--,--,--,--
N.S./N.-É.,Total,Total,"443,825","320,000","440,000","500,000","283,738","265,000","265,000","270,000","389,327","270,000","340,000","455,000"
N.B./N.-B.,Moncton,Hopewell (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Elgin (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Hillsborough (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Coverdale (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Riverview (TV),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Hillsborough (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Dorchester (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Dorchester (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Memramcook (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Moncton (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Moncton (C),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Salisbury (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Dieppe (C),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Saint-Paul (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Moncton,Total,--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Saint Martins (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,St. Martins (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Simonds (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Saint John (C),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Musquash (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Lepreau (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Petersville (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Upham (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Hampton (TV),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Hampton (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Rothesay (TV),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Westfield (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Kingston (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Grand Bay-Westfield (TV),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Norton (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Greenwich (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Rothesay (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Quispamsis (TV),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Saint John,Total,"377,267",--,--,--,--,--,--,--,"377,267",--,--,--
N.B./N.-B.,Fredericton,Gladstone (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Tracy (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Lincoln (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Maugerville (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,New Maryland (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,New Maryland (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Manners Sutton (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Harvey (VL),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Hanwell (RCR),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Kingsclear (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Queensbury (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Bright (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Douglas (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Saint Marys (P),--,--,--,--,--,--,--,--,--,--,--,--
N.B./N.-B.,Fredericton,Fredericton (C),"392,040",--,--,--,--,--,--,--,"392,040",--,--,--
N.B./N.-B.,Fredericton,Total,"319,274",--,--,--,--,--,--,--,"319,274",--,--,--
N.B./N.-B.,Total,Total,"336,672",--,--,--,"294,094",--,--,--,"325,633",--,--,--
Que/Qc,Saguenay,Saguenay (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Saint-Félix-d'Otis (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Sainte-Rose-du-Nord (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Saint-Fulgence (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Saint-Honoré (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Saint-David-de-Falardeau (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Bégin (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Saint-Charles-de-Bourget (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Larouche (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Total,--,--,--,--,"214,359",--,--,--,"214,359",--,--,--
Que/Qc,Montréal,Lavaltrie (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Richelieu (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Mathias-sur-Richelieu (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Jean-sur-Richelieu (V),"360,275",--,--,--,--,--,--,--,"360,275",--,--,--
Que/Qc,Montréal,Chambly (V),"415,323",--,--,--,"288,000",--,--,--,"357,449",--,--,--
